[2022-09-18 10:26:32] [info]  [ 4996] Commons Daemon procrun (1.0.15.0 64-bit) started
[2022-09-18 10:26:33] [info]  [ 4996] Running 'Tomcat9' Service...
[2022-09-18 10:26:33] [info]  [ 6412] Starting service...
[2022-09-18 10:26:34] [info]  [ 6412] Service started in 1443 ms.
[2022-09-19 09:23:32] [info]  [15652] Console SHUTDOWN event signaled
[2022-09-19 09:23:32] [info]  [15652] Stopping service...
[2022-09-19 09:23:33] [info]  [15652] Service stop thread completed.
[2022-09-19 09:23:33] [info]  [ 4996] Run service finished.
[2022-09-19 09:23:33] [info]  [ 4996] Commons Daemon procrun finished
